,instruction,input,output
0,COL CCN VAL 153042 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL All other conditions ,COL CCN VAL 153042 ,01T011
1,COL CCN VAL 01T011 COL Facility VAL PAM HEALTH REHABILITATION HOSPITAL OF GREATER INDI COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture ,COL Facility VAL PAM HEALTH REHABILITATION HOSPITAL OF GREATER INDI ,ST. VINCENTS EAST REHABILITATION CENTER
2,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL AKRON COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture ,COL Address1 VAL AKRON ,50 MEDICAL PARK EAST DRIVE
3,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL LAKE VILLAGE COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke) ,COL City VAL LAKE VILLAGE ,BIRMINGHAM
4,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL NH COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture ,COL State VAL NH ,AL
5,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 20010 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke) ,COL ZipCode VAL 20010 ,35235
6,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Schenectady COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke) ,COL County VAL Schenectady ,Jefferson
7,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (337) 314-1111 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke) ,COL PhoneNumber VAL (337) 314-1111 ,(205) 838-3672
8,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 5 COL Condition VAL All other conditions ,COL CMSRegion VAL 5 ,4
9,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Sroke ,COL Condition VAL Sroke ,Hip or femur fracture
10,"COL CCN VAL 183030 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition ",COL CCN VAL 183030 ,01T029
