,0,1,2
0,COL tuple_id VAL 2 COL src VAL aa COL flight VAL AA-1733-ORD-PHX COL sched_dep_time VAL 7:45 p.m. COL act_dep_time VAL 7:58 p.m. COL sched_arr_time VAL 10:30 p.m. COL act_arr_time VAL  ,COL tuple_id VAL 2 ,0
1,COL tuple_id VAL 2 COL src VAL aa COL flight VAL AA-1733-ORD-PHX COL sched_dep_time VAL 7:45 p.m. COL act_dep_time VAL 7:58 p.m. COL sched_arr_time VAL 10:30 p.m. COL act_arr_time VAL  ,COL src VAL aa ,0
2,COL tuple_id VAL 2 COL src VAL aa COL flight VAL AA-1733-ORD-PHX COL sched_dep_time VAL 7:45 p.m. COL act_dep_time VAL 7:58 p.m. COL sched_arr_time VAL 10:30 p.m. COL act_arr_time VAL  ,COL flight VAL AA-1733-ORD-PHX ,0
3,COL tuple_id VAL 2 COL src VAL aa COL flight VAL AA-1733-ORD-PHX COL sched_dep_time VAL 7:45 p.m. COL act_dep_time VAL 7:58 p.m. COL sched_arr_time VAL 10:30 p.m. COL act_arr_time VAL  ,COL sched_dep_time VAL 7:45 p.m. ,0
4,COL tuple_id VAL 2 COL src VAL aa COL flight VAL AA-1733-ORD-PHX COL sched_dep_time VAL 7:45 p.m. COL act_dep_time VAL 7:58 p.m. COL sched_arr_time VAL 10:30 p.m. COL act_arr_time VAL  ,COL act_dep_time VAL 7:58 p.m. ,0
5,COL tuple_id VAL 2 COL src VAL aa COL flight VAL AA-1733-ORD-PHX COL sched_dep_time VAL 7:45 p.m. COL act_dep_time VAL 7:58 p.m. COL sched_arr_time VAL 10:30 p.m. COL act_arr_time VAL  ,COL sched_arr_time VAL 10:30 p.m. ,0
6,COL tuple_id VAL 2 COL src VAL aa COL flight VAL AA-1733-ORD-PHX COL sched_dep_time VAL 7:45 p.m. COL act_dep_time VAL 7:58 p.m. COL sched_arr_time VAL 10:30 p.m. COL act_arr_time VAL  ,COL act_arr_time VAL  ,1
7,COL tuple_id VAL 3 COL src VAL aa COL flight VAL AA-1640-MIA-MCO COL sched_dep_time VAL 6:30 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 7:25 p.m. COL act_arr_time VAL  ,COL tuple_id VAL 3 ,0
8,COL tuple_id VAL 3 COL src VAL aa COL flight VAL AA-1640-MIA-MCO COL sched_dep_time VAL 6:30 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 7:25 p.m. COL act_arr_time VAL  ,COL src VAL aa ,0
9,COL tuple_id VAL 3 COL src VAL aa COL flight VAL AA-1640-MIA-MCO COL sched_dep_time VAL 6:30 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 7:25 p.m. COL act_arr_time VAL  ,COL flight VAL AA-1640-MIA-MCO ,0
10,COL tuple_id VAL 3 COL src VAL aa COL flight VAL AA-1640-MIA-MCO COL sched_dep_time VAL 6:30 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 7:25 p.m. COL act_arr_time VAL  ,COL sched_dep_time VAL 6:30 p.m. ,0
11,COL tuple_id VAL 3 COL src VAL aa COL flight VAL AA-1640-MIA-MCO COL sched_dep_time VAL 6:30 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 7:25 p.m. COL act_arr_time VAL  ,COL act_dep_time VAL  ,1
12,COL tuple_id VAL 3 COL src VAL aa COL flight VAL AA-1640-MIA-MCO COL sched_dep_time VAL 6:30 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 7:25 p.m. COL act_arr_time VAL  ,COL sched_arr_time VAL 7:25 p.m. ,0
13,COL tuple_id VAL 3 COL src VAL aa COL flight VAL AA-1640-MIA-MCO COL sched_dep_time VAL 6:30 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 7:25 p.m. COL act_arr_time VAL  ,COL act_arr_time VAL  ,1
14,COL tuple_id VAL 6 COL src VAL aa COL flight VAL AA-204-LAX-MCO COL sched_dep_time VAL 11:25 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 6:55 a.m. COL act_arr_time VAL  ,COL tuple_id VAL 6 ,0
15,COL tuple_id VAL 6 COL src VAL aa COL flight VAL AA-204-LAX-MCO COL sched_dep_time VAL 11:25 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 6:55 a.m. COL act_arr_time VAL  ,COL src VAL aa ,0
16,COL tuple_id VAL 6 COL src VAL aa COL flight VAL AA-204-LAX-MCO COL sched_dep_time VAL 11:25 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 6:55 a.m. COL act_arr_time VAL  ,COL flight VAL AA-204-LAX-MCO ,0
17,COL tuple_id VAL 6 COL src VAL aa COL flight VAL AA-204-LAX-MCO COL sched_dep_time VAL 11:25 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 6:55 a.m. COL act_arr_time VAL  ,COL sched_dep_time VAL 11:25 p.m. ,0
18,COL tuple_id VAL 6 COL src VAL aa COL flight VAL AA-204-LAX-MCO COL sched_dep_time VAL 11:25 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 6:55 a.m. COL act_arr_time VAL  ,COL act_dep_time VAL  ,1
19,COL tuple_id VAL 6 COL src VAL aa COL flight VAL AA-204-LAX-MCO COL sched_dep_time VAL 11:25 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 6:55 a.m. COL act_arr_time VAL  ,COL sched_arr_time VAL 12/02/2011 6:55 a.m. ,1
20,COL tuple_id VAL 6 COL src VAL aa COL flight VAL AA-204-LAX-MCO COL sched_dep_time VAL 11:25 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 6:55 a.m. COL act_arr_time VAL  ,COL act_arr_time VAL  ,1
21,COL tuple_id VAL 15 COL src VAL aa COL flight VAL AA-1279-DFW-PHX COL sched_dep_time VAL 1:00 p.m. COL act_dep_time VAL 2:04 p.m. COL sched_arr_time VAL 2:35 p.m. COL act_arr_time VAL 3:30 p.m. ,COL tuple_id VAL 15 ,0
22,COL tuple_id VAL 15 COL src VAL aa COL flight VAL AA-1279-DFW-PHX COL sched_dep_time VAL 1:00 p.m. COL act_dep_time VAL 2:04 p.m. COL sched_arr_time VAL 2:35 p.m. COL act_arr_time VAL 3:30 p.m. ,COL src VAL aa ,0
23,COL tuple_id VAL 15 COL src VAL aa COL flight VAL AA-1279-DFW-PHX COL sched_dep_time VAL 1:00 p.m. COL act_dep_time VAL 2:04 p.m. COL sched_arr_time VAL 2:35 p.m. COL act_arr_time VAL 3:30 p.m. ,COL flight VAL AA-1279-DFW-PHX ,0
24,COL tuple_id VAL 15 COL src VAL aa COL flight VAL AA-1279-DFW-PHX COL sched_dep_time VAL 1:00 p.m. COL act_dep_time VAL 2:04 p.m. COL sched_arr_time VAL 2:35 p.m. COL act_arr_time VAL 3:30 p.m. ,COL sched_dep_time VAL 1:00 p.m. ,0
25,COL tuple_id VAL 15 COL src VAL aa COL flight VAL AA-1279-DFW-PHX COL sched_dep_time VAL 1:00 p.m. COL act_dep_time VAL 2:04 p.m. COL sched_arr_time VAL 2:35 p.m. COL act_arr_time VAL 3:30 p.m. ,COL act_dep_time VAL 2:04 p.m. ,0
26,COL tuple_id VAL 15 COL src VAL aa COL flight VAL AA-1279-DFW-PHX COL sched_dep_time VAL 1:00 p.m. COL act_dep_time VAL 2:04 p.m. COL sched_arr_time VAL 2:35 p.m. COL act_arr_time VAL 3:30 p.m. ,COL sched_arr_time VAL 2:35 p.m. ,0
27,COL tuple_id VAL 15 COL src VAL aa COL flight VAL AA-1279-DFW-PHX COL sched_dep_time VAL 1:00 p.m. COL act_dep_time VAL 2:04 p.m. COL sched_arr_time VAL 2:35 p.m. COL act_arr_time VAL 3:30 p.m. ,COL act_arr_time VAL 3:30 p.m. ,0
28,COL tuple_id VAL 32 COL src VAL aa COL flight VAL AA-1522-SFO-ORD COL sched_dep_time VAL 11:55 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 5:50 a.m. COL act_arr_time VAL  ,COL tuple_id VAL 32 ,0
29,COL tuple_id VAL 32 COL src VAL aa COL flight VAL AA-1522-SFO-ORD COL sched_dep_time VAL 11:55 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 5:50 a.m. COL act_arr_time VAL  ,COL src VAL aa ,0
30,COL tuple_id VAL 32 COL src VAL aa COL flight VAL AA-1522-SFO-ORD COL sched_dep_time VAL 11:55 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 5:50 a.m. COL act_arr_time VAL  ,COL flight VAL AA-1522-SFO-ORD ,0
31,COL tuple_id VAL 32 COL src VAL aa COL flight VAL AA-1522-SFO-ORD COL sched_dep_time VAL 11:55 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 5:50 a.m. COL act_arr_time VAL  ,COL sched_dep_time VAL 11:55 p.m. ,0
32,COL tuple_id VAL 32 COL src VAL aa COL flight VAL AA-1522-SFO-ORD COL sched_dep_time VAL 11:55 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 5:50 a.m. COL act_arr_time VAL  ,COL act_dep_time VAL  ,1
33,COL tuple_id VAL 32 COL src VAL aa COL flight VAL AA-1522-SFO-ORD COL sched_dep_time VAL 11:55 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 5:50 a.m. COL act_arr_time VAL  ,COL sched_arr_time VAL 12/02/2011 5:50 a.m. ,1
34,COL tuple_id VAL 32 COL src VAL aa COL flight VAL AA-1522-SFO-ORD COL sched_dep_time VAL 11:55 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 5:50 a.m. COL act_arr_time VAL  ,COL act_arr_time VAL  ,1
35,COL tuple_id VAL 33 COL src VAL aa COL flight VAL AA-3823-LAX-DEN COL sched_dep_time VAL 9:00 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 12:15 a.m. COL act_arr_time VAL  ,COL tuple_id VAL 33 ,0
36,COL tuple_id VAL 33 COL src VAL aa COL flight VAL AA-3823-LAX-DEN COL sched_dep_time VAL 9:00 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 12:15 a.m. COL act_arr_time VAL  ,COL src VAL aa ,0
37,COL tuple_id VAL 33 COL src VAL aa COL flight VAL AA-3823-LAX-DEN COL sched_dep_time VAL 9:00 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 12:15 a.m. COL act_arr_time VAL  ,COL flight VAL AA-3823-LAX-DEN ,0
38,COL tuple_id VAL 33 COL src VAL aa COL flight VAL AA-3823-LAX-DEN COL sched_dep_time VAL 9:00 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 12:15 a.m. COL act_arr_time VAL  ,COL sched_dep_time VAL 9:00 p.m. ,0
39,COL tuple_id VAL 33 COL src VAL aa COL flight VAL AA-3823-LAX-DEN COL sched_dep_time VAL 9:00 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 12:15 a.m. COL act_arr_time VAL  ,COL act_dep_time VAL  ,1
40,COL tuple_id VAL 33 COL src VAL aa COL flight VAL AA-3823-LAX-DEN COL sched_dep_time VAL 9:00 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 12:15 a.m. COL act_arr_time VAL  ,COL sched_arr_time VAL 12/02/2011 12:15 a.m. ,1
41,COL tuple_id VAL 33 COL src VAL aa COL flight VAL AA-3823-LAX-DEN COL sched_dep_time VAL 9:00 p.m. COL act_dep_time VAL  COL sched_arr_time VAL 12/02/2011 12:15 a.m. COL act_arr_time VAL  ,COL act_arr_time VAL  ,1
