,0,1,2
0,COL ProviderNumber VAL 10001 COL HospitalName VAL southeast alabama medical center COL Address1 VAL 1108 ross clark circle COL Address2 VAL empty COL Address3 VAL empty COL City VAL dothan COL State VAL al COL ZipCode VAL 36302 COL CountyName VAL houston COL PhoneNumber VAL 3347938701 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - hospital district or authority COL EmergencyService VAL yes COL Condition VAL heart attaxk COL MeasureCode VAL ami-3 COL MeasureName VAL heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd) COL Score VAL 96% COL Sample VAL 71 patients COL Stateavg VAL al_ami-3 ,COL ProviderNumber VAL 10001 ,0
1,COL ProviderNumber VAL 10001 COL HospitalName VAL southeast alabama medical center COL Address1 VAL 1108 ross clark circle COL Address2 VAL empty COL Address3 VAL empty COL City VAL dothan COL State VAL al COL ZipCode VAL 36302 COL CountyName VAL houston COL PhoneNumber VAL 3347938701 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - hospital district or authority COL EmergencyService VAL yes COL Condition VAL heart attaxk COL MeasureCode VAL ami-3 COL MeasureName VAL heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd) COL Score VAL 96% COL Sample VAL 71 patients COL Stateavg VAL al_ami-3 ,COL Address1 VAL 1108 ross clark circle ,0
2,COL ProviderNumber VAL 10001 COL HospitalName VAL southeast alabama medical center COL Address1 VAL 1108 ross clark circle COL Address2 VAL empty COL Address3 VAL empty COL City VAL dothan COL State VAL al COL ZipCode VAL 36302 COL CountyName VAL houston COL PhoneNumber VAL 3347938701 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - hospital district or authority COL EmergencyService VAL yes COL Condition VAL heart attaxk COL MeasureCode VAL ami-3 COL MeasureName VAL heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd) COL Score VAL 96% COL Sample VAL 71 patients COL Stateavg VAL al_ami-3 ,COL City VAL dothan ,0
3,COL ProviderNumber VAL 10001 COL HospitalName VAL southeast alabama medical center COL Address1 VAL 1108 ross clark circle COL Address2 VAL empty COL Address3 VAL empty COL City VAL dothan COL State VAL al COL ZipCode VAL 36302 COL CountyName VAL houston COL PhoneNumber VAL 3347938701 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - hospital district or authority COL EmergencyService VAL yes COL Condition VAL heart attaxk COL MeasureCode VAL ami-3 COL MeasureName VAL heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd) COL Score VAL 96% COL Sample VAL 71 patients COL Stateavg VAL al_ami-3 ,COL State VAL al ,0
4,COL ProviderNumber VAL 10001 COL HospitalName VAL southeast alabama medical center COL Address1 VAL 1108 ross clark circle COL Address2 VAL empty COL Address3 VAL empty COL City VAL dothan COL State VAL al COL ZipCode VAL 36302 COL CountyName VAL houston COL PhoneNumber VAL 3347938701 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - hospital district or authority COL EmergencyService VAL yes COL Condition VAL heart attaxk COL MeasureCode VAL ami-3 COL MeasureName VAL heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd) COL Score VAL 96% COL Sample VAL 71 patients COL Stateavg VAL al_ami-3 ,COL ZipCode VAL 36302 ,0
5,COL ProviderNumber VAL 10001 COL HospitalName VAL southeast alabama medical center COL Address1 VAL 1108 ross clark circle COL Address2 VAL empty COL Address3 VAL empty COL City VAL dothan COL State VAL al COL ZipCode VAL 36302 COL CountyName VAL houston COL PhoneNumber VAL 3347938701 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - hospital district or authority COL EmergencyService VAL yes COL Condition VAL heart attaxk COL MeasureCode VAL ami-3 COL MeasureName VAL heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd) COL Score VAL 96% COL Sample VAL 71 patients COL Stateavg VAL al_ami-3 ,COL PhoneNumber VAL 3347938701 ,0
6,COL ProviderNumber VAL 10001 COL HospitalName VAL southeast alabama medical center COL Address1 VAL 1108 ross clark circle COL Address2 VAL empty COL Address3 VAL empty COL City VAL dothan COL State VAL al COL ZipCode VAL 36302 COL CountyName VAL houston COL PhoneNumber VAL 3347938701 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - hospital district or authority COL EmergencyService VAL yes COL Condition VAL heart attaxk COL MeasureCode VAL ami-3 COL MeasureName VAL heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd) COL Score VAL 96% COL Sample VAL 71 patients COL Stateavg VAL al_ami-3 ,COL HospitalOwner VAL government - hospital district or authority ,0
7,COL ProviderNumber VAL 10001 COL HospitalName VAL southeast alabama medical center COL Address1 VAL 1108 ross clark circle COL Address2 VAL empty COL Address3 VAL empty COL City VAL dothan COL State VAL al COL ZipCode VAL 36302 COL CountyName VAL houston COL PhoneNumber VAL 3347938701 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - hospital district or authority COL EmergencyService VAL yes COL Condition VAL heart attaxk COL MeasureCode VAL ami-3 COL MeasureName VAL heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd) COL Score VAL 96% COL Sample VAL 71 patients COL Stateavg VAL al_ami-3 ,COL EmergencyService VAL yes ,0
8,COL ProviderNumber VAL 10001 COL HospitalName VAL southeast alabama medical center COL Address1 VAL 1108 ross clark circle COL Address2 VAL empty COL Address3 VAL empty COL City VAL dothan COL State VAL al COL ZipCode VAL 36302 COL CountyName VAL houston COL PhoneNumber VAL 3347938701 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - hospital district or authority COL EmergencyService VAL yes COL Condition VAL heart attaxk COL MeasureCode VAL ami-3 COL MeasureName VAL heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd) COL Score VAL 96% COL Sample VAL 71 patients COL Stateavg VAL al_ami-3 ,COL Condition VAL heart attaxk ,1
9,COL ProviderNumber VAL 10001 COL HospitalName VAL southeast alabama medical center COL Address1 VAL 1108 ross clark circle COL Address2 VAL empty COL Address3 VAL empty COL City VAL dothan COL State VAL al COL ZipCode VAL 36302 COL CountyName VAL houston COL PhoneNumber VAL 3347938701 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - hospital district or authority COL EmergencyService VAL yes COL Condition VAL heart attaxk COL MeasureCode VAL ami-3 COL MeasureName VAL heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd) COL Score VAL 96% COL Sample VAL 71 patients COL Stateavg VAL al_ami-3 ,COL MeasureName VAL heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd) ,0
