,0,1,2
0,COL ProviderNumber VAL 20018 COL HospitalName VAL yukon kuskokwim delta reg hospital COL Address1 VAL poxboxx287 COL Address2 VAL empty COL Address3 VAL empty COL City VAL bethel COL State VAL ak COL ZipCode VAL 99559 COL CountyName VAL bethel COL PhoneNumber VAL 9075436300 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - federal COL EmergencyService VAL no COL Condition VAL heart attack COL MeasureCode VAL ami-2 COL MeasureName VAL heart attack patients given aspirin at discharge COL Score VAL empty COL Sample VAL empty COL Stateavg VAL ak_ami-2 ,COL HospitalName VAL yukon kuskokwim delta reg hospital ,0
1,COL ProviderNumber VAL 20018 COL HospitalName VAL yukon kuskokwim delta reg hospital COL Address1 VAL poxboxx287 COL Address2 VAL empty COL Address3 VAL empty COL City VAL bethel COL State VAL ak COL ZipCode VAL 99559 COL CountyName VAL bethel COL PhoneNumber VAL 9075436300 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - federal COL EmergencyService VAL no COL Condition VAL heart attack COL MeasureCode VAL ami-2 COL MeasureName VAL heart attack patients given aspirin at discharge COL Score VAL empty COL Sample VAL empty COL Stateavg VAL ak_ami-2 ,COL Address1 VAL poxboxx287 ,1
2,COL ProviderNumber VAL 20018 COL HospitalName VAL yukon kuskokwim delta reg hospital COL Address1 VAL poxboxx287 COL Address2 VAL empty COL Address3 VAL empty COL City VAL bethel COL State VAL ak COL ZipCode VAL 99559 COL CountyName VAL bethel COL PhoneNumber VAL 9075436300 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - federal COL EmergencyService VAL no COL Condition VAL heart attack COL MeasureCode VAL ami-2 COL MeasureName VAL heart attack patients given aspirin at discharge COL Score VAL empty COL Sample VAL empty COL Stateavg VAL ak_ami-2 ,COL City VAL bethel ,0
3,COL ProviderNumber VAL 20018 COL HospitalName VAL yukon kuskokwim delta reg hospital COL Address1 VAL poxboxx287 COL Address2 VAL empty COL Address3 VAL empty COL City VAL bethel COL State VAL ak COL ZipCode VAL 99559 COL CountyName VAL bethel COL PhoneNumber VAL 9075436300 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - federal COL EmergencyService VAL no COL Condition VAL heart attack COL MeasureCode VAL ami-2 COL MeasureName VAL heart attack patients given aspirin at discharge COL Score VAL empty COL Sample VAL empty COL Stateavg VAL ak_ami-2 ,COL CountyName VAL bethel ,0
4,COL ProviderNumber VAL 20018 COL HospitalName VAL yukon kuskokwim delta reg hospital COL Address1 VAL poxboxx287 COL Address2 VAL empty COL Address3 VAL empty COL City VAL bethel COL State VAL ak COL ZipCode VAL 99559 COL CountyName VAL bethel COL PhoneNumber VAL 9075436300 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - federal COL EmergencyService VAL no COL Condition VAL heart attack COL MeasureCode VAL ami-2 COL MeasureName VAL heart attack patients given aspirin at discharge COL Score VAL empty COL Sample VAL empty COL Stateavg VAL ak_ami-2 ,COL PhoneNumber VAL 9075436300 ,0
5,COL ProviderNumber VAL 20018 COL HospitalName VAL yukon kuskokwim delta reg hospital COL Address1 VAL poxboxx287 COL Address2 VAL empty COL Address3 VAL empty COL City VAL bethel COL State VAL ak COL ZipCode VAL 99559 COL CountyName VAL bethel COL PhoneNumber VAL 9075436300 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - federal COL EmergencyService VAL no COL Condition VAL heart attack COL MeasureCode VAL ami-2 COL MeasureName VAL heart attack patients given aspirin at discharge COL Score VAL empty COL Sample VAL empty COL Stateavg VAL ak_ami-2 ,COL HospitalType VAL acute care hospitals ,0
6,COL ProviderNumber VAL 20018 COL HospitalName VAL yukon kuskokwim delta reg hospital COL Address1 VAL poxboxx287 COL Address2 VAL empty COL Address3 VAL empty COL City VAL bethel COL State VAL ak COL ZipCode VAL 99559 COL CountyName VAL bethel COL PhoneNumber VAL 9075436300 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - federal COL EmergencyService VAL no COL Condition VAL heart attack COL MeasureCode VAL ami-2 COL MeasureName VAL heart attack patients given aspirin at discharge COL Score VAL empty COL Sample VAL empty COL Stateavg VAL ak_ami-2 ,COL MeasureName VAL heart attack patients given aspirin at discharge ,0
7,COL ProviderNumber VAL 20018 COL HospitalName VAL yukon kuskokwim delta reg hospital COL Address1 VAL poxboxx287 COL Address2 VAL empty COL Address3 VAL empty COL City VAL bethel COL State VAL ak COL ZipCode VAL 99559 COL CountyName VAL bethel COL PhoneNumber VAL 9075436300 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - federal COL EmergencyService VAL no COL Condition VAL heart attack COL MeasureCode VAL ami-2 COL MeasureName VAL heart attack patients given aspirin at discharge COL Score VAL empty COL Sample VAL empty COL Stateavg VAL ak_ami-2 ,COL Sample VAL empty ,0
8,COL ProviderNumber VAL 10025 COL HospitalName VAL g h lanier memorial hospital COL Address1 VAL 4800 48th st COL Address2 VAL empty COL Address3 VAL empty COL City VAL valley COL State VAL al COL ZipCode VAL 36854 COL CountyName VAL chambers COL PhoneNumber VAL 3347561400 COL HospitalType VAL acuxe care hospixals COL HospitalOwner VAL voluntary non-profit - other COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-inf-6 COL MeasureName VAL surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor) COL Score VAL 96% COL Sample VAL 172 patxents COL Stateavg VAL al_scip-inf-6 ,COL HospitalName VAL g h lanier memorial hospital ,0
9,COL ProviderNumber VAL 10025 COL HospitalName VAL g h lanier memorial hospital COL Address1 VAL 4800 48th st COL Address2 VAL empty COL Address3 VAL empty COL City VAL valley COL State VAL al COL ZipCode VAL 36854 COL CountyName VAL chambers COL PhoneNumber VAL 3347561400 COL HospitalType VAL acuxe care hospixals COL HospitalOwner VAL voluntary non-profit - other COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-inf-6 COL MeasureName VAL surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor) COL Score VAL 96% COL Sample VAL 172 patxents COL Stateavg VAL al_scip-inf-6 ,COL Address1 VAL 4800 48th st ,0
