,0,1,2
1109,COL index VAL 439 COL ProviderNumber VAL 20017 COL HospitalName VAL alaska regional hospital COL Address1 VAL 2801 debarr road COL Address2 VAL empty COL Address3 VAL empty COL City VAL anchorage COL State VAL ak COL ZipCode VAL 99508 COL CountyName VAL anchorage COL PhoneNumber VAL 9072761131 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL proprietary COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-4 COL MeasureName VAL pneumonia patients given smoking cessation advice/counseling COL Score VAL 96% COL Sample VAL 26 patients COL Stateavg VAL ak_pn-4 ,COL CountyName VAL anchorage ,0
723,COL index VAL 6 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birmingham COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-inf-6 COL MeasureName VAL surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor) COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-inf-6 ,COL Address1 VAL 1720 university blvd ,0
1368,COL index VAL 95 COL ProviderNumber VAL 10007 COL HospitalName VAL mizell memorial hospital COL Address1 VAL 702xnxmainxst COL Address2 VAL empty COL Address3 VAL empty COL City VAL opp COL State VAL al COL ZipCode VAL 36467 COL CountyName VAL covington COL PhoneNumber VAL 3344933541 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL no COL Condition VAL heart attack COL MeasureCode VAL ami-1 COL MeasureName VAL xeart attack patients given aspirin at arrival COL Score VAL 60% COL Sample VAL 5 patients COL Stateavg VAL al_ami-1 ,COL HospitalType VAL axute xxxe hoxpitxlx ,1
2036,COL index VAL 407 COL ProviderNumber VAL 10108 COL HospitalName VAL prattville baptist hospital COL Address1 VAL 124 s memorial dr COL Address2 VAL empty COL Address3 VAL empty COL City VAL prattville COL State VAL al COL ZipCode VAL 3x0x7 COL CountyName VAL autauga COL PhoneNumber VAL 3343614267 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-6 COL MeasureName VAL pneumonia patients given the most appropriate initial antibiotic(s) COL Score VAL 92% COL Sample VAL 93 patients COL Stateavg VAL al_pn-6 ,COL Score VAL 9x% ,1
861,COL index VAL 838 COL ProviderNumber VAL 10043 COL HospitalName VAL chilton medical center COL Address1 VAL 1010 lay dam road COL Address2 VAL empty COL Address3 VAL empty COL City VAL clanton COL State VAL al COL ZipCode VAL 35045 COL CountyName VAL chilton COL PhoneNumber VAL 2057552500 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL heart failure COL MeasureCode VAL hf-4 COL MeasureName VAL heart failure patients given smoking cessation advice/counseling COL Score VAL 100% COL Sample VAL 4 patients COL Stateavg VAL al_hf-4 ,COL State VAL al ,0
431,COL index VAL 392 COL ProviderNumber VAL 10087 COL HospitalName VAL univ of south alabama medical center COL Address1 VAL 2451 fillingim street COL Address2 VAL empty COL Address3 VAL empty COL City VAL mobile COL State VAL al COL ZipCode VAL 36617 COL CountyName VAL mobile COL PhoneNumber VAL 2514717110 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - state COL EmergencyService VAL yes COL Condition VAL pneumonia COL MeasureCode VAL pn-xb COL MeasureName VAL pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics COL Score VAL 89% COL Sample VAL 35 patients COL Stateavg VAL al_pn-3b ,COL ProviderNumber VAL 10087 ,0
2195,COL index VAL 876 COL ProviderNumber VAL 10044 COL HospitalName VAL marion regional medical center COL Address1 VAL 1256 military street south COL Address2 VAL empty COL Address3 VAL empty COL City VAL hamilton COL State VAL al COL ZipCode VAL 35570 COL CountyName VAL marion COL PhoneNumber VAL 2059216200 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-vte-1 COL MeasureName VAL surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries COL Score VAL 100% COL Sample VAL 4 patients COL Stateavg VAL al_scip-vte-1 ,COL Stateavg VAL al_scip-vte-1 ,0
2025,COL index VAL 520 COL ProviderNumber VAL 10023 COL HospitalName VAL baptist medical center south COL Address1 VAL 2105 east south boulevard COL Address2 VAL empty COL Address3 VAL empty COL City VAL montgomery COL State VAL al COL ZipCode VAL 36116 COL CountyName VAL montgomery COL PhoneNumber VAL 3342882100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - church COL EmergencyService VAL yes COL Condition VAL heart attack COL MeasureCode VAL ami-4 COL MeasureName VAL heart attack patients given smoking cessation advice/counseling COL Score VAL 100% COL Sample VAL 119 patients COL Stateavg VAL al_ami-4 ,COL Score VAL 100% ,0
1520,COL index VAL 151 COL ProviderNumber VAL 10009 COL HospitalName VAL hartselle medical center COL Address1 VAL 201 pine street northwest COL Address2 VAL empty COL Address3 VAL empty COL City VAL hartselle COL State VAL al COL ZipCode VAL 35640 COL CountyName VAL morgan COL PhoneNumber VAL 2567736511 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL proprietary COL EmergencyService VAL yes COL Condition VAL heart attack COL MeasureCode VAL ami-8a COL MeasureName VAL heart attack patients given pci within 90 minutes of arrival COL Score VAL empty COL Sample VAL 0 patients COL Stateavg VAL al_ami-8a ,COL HospitalOwner VAL propxrietary ,1
271,COL index VAL 25 COL ProviderNumber VAL 10001 COL HospitalName VAL southeast alabama medical center COL Address1 VAL 1108 ross clark circle COL Address2 VAL empty COL Address3 VAL empty COL City VAL dothan COL State VAL al COL ZipCode VAL 36302 COL CountyName VAL houston COL PhoneNumber VAL 334793870x COL HospitalType VAL acute care hospitals COL HospitalOwner VAL government - hospital district or authority COL EmergencyService VAL yxs COL Condition VAL heart attack COL MeasureCode VAL ami-7a COL MeasureName VAL heart attack patients given fibrinolytic medication within 30 minutes of arrival COL Score VAL empty COL Sample VAL 0 patients COL Stateavg VAL al_ami-7a ,COL ZipCode VAL 36302 ,0
