title,movieId
id,1000
article_title,1001
article_language,1002
journal_title,1003
jounral_abbreviation,1004
journal_issn,1005
article_jvolumn,1006
article_jissue,1007
article_jcreated_at,1008
article_pagination,1009
author_list,1010
,1011
685456,1012
207-220,1013
"{""K. F. Lam"",""S. M. Ng"",""B. H. P. Lau"",""H. H. M. Lo"",""C. L. W. Chan""}",1014
1464-0325,1015
Ultrasonically enhanced vancomycin activity against Staphylococcus epidermidis biofilms in vivo.,1016
Obstetrical anal sphincter laceration and anal incontinence 5-10 years after childbirth,1017
Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,1018
"{""Joel W. Grube"",""Juan A. Luna"",""David A. Gilder"",""Jennifer Roberts"",""Daniel Calac"",""Cindy L. Ehlers"",""Roland S. Moore""}",1019
814758,1020
1423-0356,1021
Pharmacoeconomic Evaluation of Tiotropium Bromide in the Long-Term Treatment of Chronic Obstructive Pulmonary Disease (COPD) in Italy,1022
Can Forces Dent Serv Q,1023
0353-9504,1024
946112,1025
87,1026
"{""Yusuf S"",""Fox KA"",""Chow CK"",""Anand SS"",""Jolly S"",""Rao-Melacini P""}",1027
Archives De Pediatrie,1028
0272-4944,1029
348,1030
434500,1031
The neurologist,1032
Pharmacoeconomics,1033
Palliative sedation therapy in the last weeks of life: a literature review and recommendations for standards.,1034
153-6,1035
Examining waiting placement in hospital: utilization and the lived experience.,1036
957059,1037
e213-8,1038
383183,1039
Transport of infants with congenital heart disease.,1040
Shedding health risks with bariatric weight loss surgery,1041
The changing residential environments of older people,1042
5/1/11,1043
239,1044
29-38,1045
Prediccion de la masa muscular apendicular esqueletica basado en mediciones antropometricas en Adultos Mayores Chilenos.,1046
Microb Drug Resist,1047
416171,1048
1237-48,1049
0091-7435,1050
1460-2105,1051
"{""Montserrat Bacardi-Gascon"",""Arturo Jimenez-Cruz"",""Lidia M. Castaneda-Gonzalez""}",1052
0301-4851,1053
p16(INK4) Expression is not associated with human papillomavirus in oral lichen planus.,1054
Int. J.  Pharmcy Pharm. Sci.,1055
693-9,1056
Mind the Gap: Difference between Framingham heart age and real age increases with age in HIV-positive individuals - A clinical cohort study,1057
453607,1058
740227,1059
"{""C. G. Mendez""}",1060
"{""John Petkov"",""Steve Bailey"",""Samuel Chalmers"",""Michael Heynen"",""Ebonie Scase"",""Mary E Magarey""}",1061
108,1062
127,1063
903817,1064
581864,1065
Nature: New biology,1066
574-80,1067
Am J Orthod Dentofacial Orthop,1068
353972,1069
625-31,1070
0266-7681 (Print) 0266-7681,1071
423691,1072
240949,1073
2/1/82,1074
8/13/10,1075
"{""Lowery M.""}",1076
"International journal of surgery (London, England)",1077
Endocrinology,1078
Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,1079
Journal of environmental monitoring : JEM,1080
622636,1081
624354,1082
American Journal of Epidemiology,1083
109595,1084
1976-2437,1085
320139,1086
Early prenatal survival in relation to the parental environment in sheep: A review,1087
"{""Bradley S Marino""}",1088
The pathogenesis of normal pressure hydrocephalus: a theoretical analysis.,1089
Expert opinion on drug metabolism & toxicology,1090
3/1/00,1091
Serum S100B represents a new biomarker for mood disorders.,1092
291020,1093
Postgraduate medical journal,1094
Nowoczesne biomateria��y jako opatrunki hemostatyczne w chirurgii oszczedzajacej miazsz nerki--model zwierzecy. Doniesienie wstepne.,1095
[Studies on cefotaxime (HR 756) concentration in human biliary tract and clinical effect for acute or subacute cholecystitis with cholelithiasis (author's transl)],1096
Journal of Allergy and Clinical Immunology,1097
480030,1098
193292,1099
837546,1100
Energy and fat intakes of children and adolescents in the united states: data from the national health and nutrition examination surveys,1101
"{""N. M. Pinheiro"",""R. Almeida-Reis"",""L. Oliva"",""M. A. Martins"",""M. L. V. Oliva"",""O. A. Theodoro-Junior"",""E. A. Leick"",""I. F. L. C. Tib̩rio"",""C. M. Prado"",""R. F. Righetti"",""B. T. M. Oliveira""}",1102
"{""Jacques Van Hoecke"",""Hayat Banoujaafar"",""Christine Marie"",""Claude M Mossiat""}",1103
757176,1104
Curr Drug Targets,1105
625016,1106
Curr.Opin.Infect.Dis.,1107
Downregulated E-cadherin expression indicates worse prognosis in Asian patients with colorectal cancer: evidence from meta-analysis.,1108
626797,1109
341-6,1110
361-3,1111
The Lancet,1112
38197,1113
Psycho-Oncology,1114
"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}",1115
Cost Effectiveness and Resource Allocation,1116
0193-1849,1117
-5990,1118
81,1119
435-40,1120
118,1121
592893,1122
2162-3279,1123
Clinical psychology review,1124
"{""Gaolang Gong"",""Hua Cheng"",""Yong He"",""Qi Dong"",""Hao Huang"",""Virendra Mishra""}",1125
Carriage of methicillin-resistant Staphylococcus aureus by veterinarians in Australia,1126
904,1127
178424,1128
"{""John F Fraser"",""Kelvin L Choo"",""Roy M Kimble""}",1129
1361-6560,1130
9/1/07,1131
"{""Marie-Pierre Chenard"",""Nassim Dali-Youcef"",""Emilie Buache"",""Marie-Christine Rio"",""Jinxiang Tan""}",1132
1361-9209,1133
"{""D N Levine""}",1134
1476-5497,1135
Preval̻ncia de bruxismo e dist̼rbio do sono em deficientes visuais Prevalence of bruxism and sleep disorders in the visually impaired individuals,1136
Anadolu kardiyoloji dergisi : AKD = the Anatolian journal of cardiology,1137
9325,1138
0091-6749 (Print),1139
83-7,1140
93-7,1141
592831,1142
938,1143
The effectiveness of N-acetylcysteine in preventing contrast-induced nephropathy in patients undergoing contrast-enhanced computed tomography: a meta-analysis of randomized controlled trials (Provisional abstract),1144
"{""Y. Akematsu"",""M. Tsuji"",""K. Minetaki""}",1145
1062-3264 (Print)     1062-3264,1146
J Bone Joint Surg Br,1147
