,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state,clean,brewery\_id
0,1436.0,Pub Beer,American Pale Lager,12.0,0.05,,408.0,10 Barrel Brewing Company,Bend,OR,,
1,2265.0,Devil's Cup,American Pale Ale (APA),12.0,0.066,,177.0,18th Street Brewery,Gary,IN,,
2,2264.0,Rise of the Phoenix,American IPA,12.0,0.071,,177.0,18th Street Brewery,Gary,IN,,
3,2263.0,Sinister,American Double / Imperial IPA,12.0,0.09,,177.0,18th Street Brewery,Gary,IN,,
4,2262.0,Sex and Candy,American IPA,12.0,0.075,,177.0,18th Street Brewery,Gary,IN,,
5,2261.0,Black Exodus,Oatmeal Stout,12.0,0.077,,177.0,18th Street Brewery,Gary,IN,,
6,2260.0,Lake Street Express,American Pale Ale (APA),12.0,0.045,,177.0,18th Street Brewery,Gary,IN,,
7,2259.0,Foreman,American Porter,12.0,0.065,,177.0,18th Street Brewery,Gary,IN,"{'id': 2259, 'beer-name': 'Foreman', 'style': 'American Porter', 'ounces': 12.0, 'abv': 0.065, 'ibu': '', 'brewery_id': 177, 'brewery-name': '18th Street Brewery', 'city': 'Gary', 'state': 'IN'}",
8,2258.0,Jade,American Pale Ale (APA),12.0 oz.,0.055,,177.0,18th Street Brewery,Gary,IN,,
9,2131.0,Cone Crusher,American Double / Imperial IPA,12.0,0.086,,177.0,18th Street Brewery,Gary,IN,,
10,2099.0,Sophomoric Saison,Saison / Farmhouse Ale,12.0,0.072,,177.0,18th Street Brewery,Gary,IN,,
11,2098.0,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0,0.073,,177.0,18th Street Brewery,Gary,IN,,
12,2097.0,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,,177.0,18th Street Brewery,Gary,IN,,
13,1980.0,Troll Destroyer,Belgian IPA,12.0,0.085,,177.0,18th Street Brewery,Gary,IN,,
14,1979.0,Bitter Bitch,American Pale Ale (APA),12.0,0.061,60.0,177.0,18th Street Brewery,Gary,IN,"{'id': 1979, 'beer-name': 'Bitter Bitch', 'style': 'American Pale Ale (APA)', 'ounces': 12.0, 'abv': 0.061, 'ibu': 60.0, 'brewery\\_id': 177, 'brewery-name': '18th Street Brewery', 'city': 'Gary', 'state': 'IN', 'brewery_id': 177}",
15,2318.0,Ginja Ninja,Cider,12.0,0.06,,154.0,2 Towns Ciderhouse,Corvallis,OR,"{'id': 2318, 'beer-name': 'Ginja Ninja', 'style': 'Cider', 'ounces': 12.0, 'abv': 0.06, 'ibu': '', 'brewery\\_id': 154, 'brewery-name': '2 Towns Ciderhouse', 'city': 'Corvallis', 'state': 'OR', 'brewery_id': 154}",
16,2170.0,Cherried Away,Cider,12.0,0.06,,154.0,2 Towns Ciderhouse,Corvallis,OR,,
17,2169.0,Rhubarbarian,Cider,12.0,0.06,,154.0,2 Towns Ciderhouse,Corvallis,OR,,
18,1502.0,BrightCider,Cider,12.0,0.06,,154.0,2 Towns Ciderhouse,Corvallis,OR,"{'id': 1502, 'beer-name': 'BrightCider', 'style': 'Cider', 'ounces': 12.0, 'abv': 0.06, 'ibu': '', 'brewery\\_id': 154, 'brewery-name': '2 Towns Ciderhouse', 'city': 'Corvallis', 'state': 'OR', 'brewery_id': 154}",
19,1593.0,He Said Baltic-Style Porter,Baltic Porter,12.0,0.082,,368.0,21st Amendment Brewery,San Francisco,CA,,
20,1592.0,He Said Belgian-Style Tripel,Tripel,12.0,0.082,,368.0,21st Amendment Brewery,San Francisco,CA,,
21,1036.0,Lower De Boom,American Barleywine,8.4,0.099,92.0,368.0,21st Amendment Brewery,San Francisco,CA,,
22,1024.0,Fireside Chat,Winter Warmer,12.0,0.079,45.0,368.0,21st Amendment Brewery,San Francisco,CA,"{'id': 1024, 'beer-name': 'Fireside Chat', 'style': 'Winter Warmer', 'ounces': 12.0, 'abv': 0.079, 'ibu': 45.0, 'brewery\\_id': 368, 'brewery-name': '21st Amendment Brewery', 'city': 'San Francisco', 'state': 'CA', 'brewery_id': 368}",
23,976.0,Marooned On Hog Island,American Stout,12.0,0.079,,368.0,21st Amendment Brewery,San Francisco,CA,,
24,876.0,Bitter American,American Pale Ale (APA),12.0,0.044,42.0,368.0,21st Amendment Brewery,San Francisco,CA,,
25,802.0,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.049,17.0,368.0,21st Amendment Brewery,San Francisco,CA,"{'id': 802, 'beer-name': 'Hell or High Watermelon Wheat (2009)', 'style': 'Fruit / Vegetable Beer', 'ounces': 12.0, 'abv': 0.049, 'ibu': 17.0, 'brewery_id': 368, 'brewery-name': '21st Amendment Brewery', 'city': 'San Francisco', 'state': 'CA'}",
26,801.0,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0,0.049,17.0,368.0,21st Amendment Brewery,San Francisco,CA,,
27,800.0,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12.0,0.049,17.0,368.0,21st Amendment Brewery,San Francisco,CA,,
