,0,1,2
0,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16.0 oz. COL abv VAL 0.047% COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward WI COL state VAL  ,COL id VAL 409 ,0
1,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16 COL abv VAL 0.047 COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward COL state VAL WI ,COL id VAL 409 ,0
2,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16.0 oz. COL abv VAL 0.047% COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward WI COL state VAL  ,COL id VAL 409 ,0
3,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16.0 oz. COL abv VAL 0.047% COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward WI COL state VAL  ,COL beer-name VAL Oaky's Oatmeal Stout ,0
4,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16 COL abv VAL 0.047 COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward COL state VAL WI ,COL beer-name VAL Oaky's Oatmeal Stout ,0
5,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16.0 oz. COL abv VAL 0.047% COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward WI COL state VAL  ,COL beer-name VAL Oaky's Oatmeal Stout ,0
6,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16.0 oz. COL abv VAL 0.047% COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward WI COL state VAL  ,COL style VAL Oatmeal Stout ,0
7,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16 COL abv VAL 0.047 COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward COL state VAL WI ,COL style VAL Oatmeal Stout ,0
8,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16.0 oz. COL abv VAL 0.047% COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward WI COL state VAL  ,COL style VAL Oatmeal Stout ,0
9,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16.0 oz. COL abv VAL 0.047% COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward WI COL state VAL  ,COL ounces VAL 16.0 oz. ,1
10,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16 COL abv VAL 0.047 COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward COL state VAL WI ,COL ounces VAL 16 ,0
11,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16.0 oz. COL abv VAL 0.047% COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward WI COL state VAL  ,COL ounces VAL 16 ,0
12,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16.0 oz. COL abv VAL 0.047% COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward WI COL state VAL  ,COL abv VAL 0.047% ,1
13,COL id VAL 409 COL beer-name VAL Oaky's Oatmeal Stout COL style VAL Oatmeal Stout COL ounces VAL 16 COL abv VAL 0.047 COL ibu VAL  COL brewery_id VAL 542 COL brewery-name VAL Angry Minnow Brewing Company COL city VAL Hayward COL state VAL WI ,COL abv VAL 0.047 ,0
