,0,1,2
0,COL index VAL 1 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birmingham COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-card-2 COL MeasureName VAL surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-card-2 ,COL MeasureName VAL surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection ,1
1,COL index VAL 1 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birmingham COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-card-2 COL MeasureName VAL surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-card-2 ,COL MeasureName VAL surgery patients who were given the  right kind  of antibiotic to help prevent infection ,1
2,COL index VAL 1 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birmingham COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-card-2 COL MeasureName VAL surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-card-2 ,COL MeasureName VAL surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery) ,1
3,COL index VAL 1 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birmingham COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-card-2 COL MeasureName VAL surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-card-2 ,COL MeasureName VAL all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery ,1
4,COL index VAL 1 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birmingham COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-card-2 COL MeasureName VAL surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-card-2 ,COL MeasureName VAL surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor) ,1
5,COL index VAL 4 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birminghxm COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-inf-3 COL MeasureName VAL surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery) COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-inf-3 ,COL City VAL birmingham ,0
6,COL index VAL 4 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birminghxm COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-inf-3 COL MeasureName VAL surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery) COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-inf-3 ,COL City VAL birmingxam ,1
7,COL index VAL 4 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birminghxm COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-inf-3 COL MeasureName VAL surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery) COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-inf-3 ,COL City VAL sheffield ,1
8,COL index VAL 4 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birminghxm COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-inf-3 COL MeasureName VAL surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery) COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-inf-3 ,COL City VAL sheffxeld ,1
9,COL index VAL 4 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birminghxm COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-inf-3 COL MeasureName VAL surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery) COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-inf-3 ,COL City VAL dothan ,1
10,COL index VAL 4 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birminghxm COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-inf-3 COL MeasureName VAL surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery) COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-inf-3 ,COL City VAL boaz ,1
11,COL index VAL 8 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birmingxam COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-vte-2 COL MeasureName VAL patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-vte-2 ,COL City VAL birmingham ,0
12,COL index VAL 8 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birmingxam COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-vte-2 COL MeasureName VAL patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-vte-2 ,COL City VAL birminghxm ,1
13,COL index VAL 8 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birmingxam COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-vte-2 COL MeasureName VAL patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-vte-2 ,COL City VAL sheffield ,1
14,COL index VAL 8 COL ProviderNumber VAL 10018 COL HospitalName VAL callahan eye foundation hospital COL Address1 VAL 1720 university blvd COL Address2 VAL empty COL Address3 VAL empty COL City VAL birmingxam COL State VAL al COL ZipCode VAL 35233 COL CountyName VAL jefferson COL PhoneNumber VAL 2053258100 COL HospitalType VAL acute care hospitals COL HospitalOwner VAL voluntary non-profit - private COL EmergencyService VAL yes COL Condition VAL surgical infection prevention COL MeasureCode VAL scip-vte-2 COL MeasureName VAL patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery COL Score VAL empty COL Sample VAL empty COL Stateavg VAL al_scip-vte-2 ,COL City VAL sheffxeld ,1
