,0,1,2
0,COL index VAL 533 ,COL index VAL 533 ,0
1,COL ProviderNumber VAL 10023 ,COL ProviderNumber VAL 10023 ,0
2,COL HospitalName VAL baptist medical cexter south ,COL HospitalName VAL baptist medical cexter south ,1
3,COL HospitalName VAL baptist medical center south ,COL HospitalName VAL baptist medical center south ,0
4,COL Address1 VAL 2105 east south boulevard ,COL Address1 VAL 2105 east south boulevard ,0
5,COL Address2 VAL empty ,COL Address2 VAL empty ,0
6,COL Address3 VAL empty ,COL Address3 VAL empty ,0
7,COL City VAL montgomery ,COL City VAL montgomery ,0
8,COL State VAL al ,COL State VAL al ,0
9,COL ZipCode VAL 36116 ,COL ZipCode VAL 36116 ,0
10,COL CountyName VAL montgomery ,COL CountyName VAL montgomery ,0
11,COL PhoneNumber VAL 3342882100 ,COL PhoneNumber VAL 3342882100 ,0
12,COL HospitalType VAL acute care hosxitals ,COL HospitalType VAL acute care hosxitals ,1
13,COL HospitalType VAL acute care hospitals ,COL HospitalType VAL acute care hospitals ,0
14,COL HospitalOwner VAL voluntary non-profit - church ,COL HospitalOwner VAL voluntary non-profit - church ,0
15,COL EmergencyService VAL yes ,COL EmergencyService VAL yes ,0
16,COL Condition VAL pneumonia ,COL Condition VAL pneumonia ,0
17,COL MeasureCode VAL pn-7 ,COL MeasureCode VAL pn-7 ,0
18,COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox ,COL MeasureName VAL pxeumoxia patiexts assessed axd givex ixfluexza vaccixatiox ,1
19,COL MeasureName VAL pneumonia patients assessed and given influenza vaccination ,COL MeasureName VAL pneumonia patients assessed and given influenza vaccination ,0
20,COL Score VAL 92% ,COL Score VAL 92% ,0
21,COL Sample VAL 87 patientx ,COL Sample VAL 87 patientx ,1
22,COL Sample VAL 87 patients ,COL Sample VAL 87 patients ,0
23,COL Stateavg VAL al_pn-7 ,COL Stateavg VAL al_pn-7 ,0
24,COL index VAL 158 ,COL index VAL 158 ,0
25,COL ProviderNumber VAL 10009 ,COL ProviderNumber VAL 10009 ,0
26,COL HospitalName VAL hartselle medical center ,COL HospitalName VAL hartselle medical center ,0
27,COL Address1 VAL 201 pine street northwest ,COL Address1 VAL 201 pine street northwest ,0
28,COL Address2 VAL empty ,COL Address2 VAL empty ,0
29,COL Address3 VAL empty ,COL Address3 VAL empty ,0
30,COL City VAL hartselle ,COL City VAL hartselle ,0
31,COL State VAL al ,COL State VAL al ,0
32,COL ZipCode VAL 3x640 ,COL ZipCode VAL 3x640 ,1
33,COL ZipCode VAL 35640 ,COL ZipCode VAL 35640 ,0
34,COL CountyName VAL morgan ,COL CountyName VAL morgan ,0
35,COL PhoneNumber VAL 2567736511 ,COL PhoneNumber VAL 2567736511 ,0
36,COL HospitalType VAL acute care hospitals ,COL HospitalType VAL acute care hospitals ,0
37,COL HospitalOwner VAL pxopxietaxy ,COL HospitalOwner VAL pxopxietaxy ,1
38,COL HospitalOwner VAL proprietary ,COL HospitalOwner VAL proprietary ,0
39,COL EmergencyService VAL yxs ,COL EmergencyService VAL yxs ,1
40,COL EmergencyService VAL yes ,COL EmergencyService VAL yes ,0
41,COL Condition VAL pneumonia ,COL Condition VAL pneumonia ,0
42,COL MeasureCode VAL pn-4 ,COL MeasureCode VAL pn-4 ,0
43,COL MeasureName VAL pneumonia patients given smoking cessation advice/counseling ,COL MeasureName VAL pneumonia patients given smoking cessation advice/counseling ,0
44,COL Score VAL 100% ,COL Score VAL 100% ,0
45,COL Sample VAL 25 patients ,COL Sample VAL 25 patients ,0
