,0,1,2
0,article_title,[Evaluation of treatment outcomes in tuberculosis of knee and hip joints in 2005-2012].,0
1,article_title,[Evaluation of treatment outcomes in tuberculosis of knee and hip joints in 2005-2012].,0
2,article_language,cze,0
3,article_language,cze,0
4,journal_title,Paliativn�_ Schanzova osteotomie p��i nereponibiln�_ luxaci ky��eln�_ho kloubu u pacient�� s d��tskou mozkovou obrnou v adolescentn�_m v��u,1
5,journal_title,Paliativn_ Schanzova osteotomie p_i nereponibiln_ luxaci kyeln_ho kloubu u pacient s d_tskou mozkovou obrnou v adolescentn_m v_u,0
6,jounral_abbreviation,,0
7,jounral_abbreviation,,0
8,journal_issn,Jan-15,1
9,journal_issn,15-Jan,0
10,article_jvolumn,80,0
11,article_jvolumn,80,0
12,article_jissue,4,0
13,article_jissue,4,0
14,article_jcreated_at,1/1/13,1
15,article_jcreated_at,1/13/01,0
16,article_pagination,256-62,0
17,article_pagination,256-62,0
18,author_list,"{""D Chochol���"",""R Chaloupka"",""B Kala"",""J Gallo"",""M Netval""}",1
19,author_list,"{""D Chochol"",""R Chaloupka"",""B Kala"",""J Gallo"",""M Netval""}",0
20,article_title,[The use of intravascular nitinol stents in the treatment of subclavian vein compression for thoracic outlet syndrome].,0
21,article_title,[The use of intravascular nitinol stents in the treatment of subclavian vein compression for thoracic outlet syndrome].,0
22,article_language,pol,0
23,article_language,pol,0
24,journal_title,Nowoczesne biomateria��y jako opatrunki hemostatyczne w chirurgii oszczedzajacej miazsz nerki--model zwierzecy. Doniesienie wstepne.,1
25,journal_title,Nowoczesne biomateria_y jako opatrunki hemostatyczne w chirurgii oszczedzajacej miazsz nerki--model zwierzecy. Doniesienie wstepne.,0
26,jounral_abbreviation,,0
27,jounral_abbreviation,,0
28,journal_issn,0370-0747,0
29,journal_issn,0370-0747,0
30,article_jvolumn,37,0
31,article_jvolumn,37,0
32,article_jissue,2,0
33,article_jissue,2,0
34,article_jcreated_at,1/1/07,1
35,article_jcreated_at,1/7/01,0
36,article_pagination,51-5,1
37,article_pagination,May-51,0
38,author_list,"{""Przemys��aw P Szyber"",""Artur Pupka"",""Piotr Szyber"",""Jerzy Garcarek""}",1
39,author_list,"{""Przemys_aw P Szyber"",""Artur Pupka"",""Piotr Szyber"",""Jerzy Garcarek""}",0
40,article_title,On the role of pre and post-processing in environmental data mining,0
41,article_title,On the role of pre and post-processing in environmental data mining,0
42,article_language,,0
43,article_language,,0
44,journal_title,"Proc. iEMSs 4th Biennial Meeting - Int. Congress on Environmental Modelling and Software: Integrating Sciences and Information Technology for Environmental Assessment and Decision Making, iEMSs 2008",0
45,journal_title,"Proc. iEMSs 4th Biennial Meeting - Int. Congress on Environmental Modelling and Software: Integrating Sciences and Information Technology for Environmental Assessment and Decision Making, iEMSs 2008",0
46,jounral_abbreviation,,0
47,jounral_abbreviation,,0
48,journal_issn,9788480000000,1
49,journal_issn,9790000000000,0
50,article_jvolumn,3,0
51,article_jvolumn,3,0
52,article_jissue,0,0
53,article_jissue,0,0
54,article_jcreated_at,1/1/08,1
55,article_jcreated_at,1/8/01,0
56,article_pagination,1937-1958,0
57,article_pagination,1937-1958,0
58,author_list,"{""Miquel S����nchez-Marr���"",""Geoff Holmes"",""Joaqu���_n Izquierdo"",""Joaquim Comas"",""Ioannis Athanasiadis"",""Karina Gibert""}",1
59,author_list,"{""Miquel S_nchez-Marr"",""Geoff Holmes"",""Joaqu_n Izquierdo"",""Joaquim Comas"",""Ioannis Athanasiadis"",""Karina Gibert""}",0
60,article_title,"Effet d'une intervention non m̩dicamenteuse, Voix d'Or�, sur les troubles du comportement dans la maladie d'Alzheimer ou une maladie apparent̩e. [Effect of a non-pharmacological intervention, Voix d'Or�, on behavior disturbances in Alzheimer disease and associated disorders.]",1
61,article_title,"Effet d'une intervention non mdicamenteuse, Voix d'Or, sur les troubles du comportement dans la maladie d'Alzheimer ou une maladie apparente. [Effect of a non-pharmacological intervention, Voix d'Or, on behavior disturbances in Alzheimer disease and associated disorders.]",0
62,article_language,,0
63,article_language,,0
64,journal_title,G̩riatrie et Psychologie Neuropsychiatrie du Vieillissement,1
65,journal_title,Griatrie et Psychologie Neuropsychiatrie du Vieillissement,0
66,jounral_abbreviation,,0
67,jounral_abbreviation,,0
68,journal_issn,2115-7863(Electronic);2115-8789(Print),0
69,journal_issn,2115-7863(Electronic);2115-8789(Print),0
70,article_jvolumn,11,0
