Epoch,rayyan,flights,hospital,imdb,beers,tax
5,11.0,19.0,23.0,46.0,12.0,30.0
10,9.0,18.0,22.0,46.0,13.0,29.0
15,11.0,16.0,19.0,46.0,10.0,32.0
20,11.0,12.0,12.0,46.0,11.0,25.0
25,11.0,11.0,17.0,50.0,10.0,29.0
30,10.0,19.0,21.0,45.0,11.0,28.0
35,12.0,19.0,16.0,46.0,10.0,31.0
40,12.0,17.0,16.0,45.0,10.0,31.0
45,13.0,18.0,18.0,45.0,10.0,31.0
50,13.0,17.0,16.0,49.0,13.0,27.0
55,9.0,19.0,19.0,46.0,11.0,28.0
60,10.0,15.0,13.0,46.0,12.0,29.0
65,8.0,14.0,18.0,45.0,10.0,27.0
70,9.0,14.0,19.0,45.0,10.0,25.0
75,11.0,17.0,19.0,45.0,11.0,25.0
80,11.0,12.0,20.0,50.0,9.0,28.0
85,10.0,10.0,16.0,45.0,12.0,26.0
90,11.0,17.0,12.0,45.0,10.0,30.0
95,11.0,14.0,11.0,46.0,9.0,27.0
100,10.0,10.0,15.0,46.0,9.0,25.0
105,11.0,23.0,18.0,52.0,10.0,33.0
110,11.0,22.0,14.0,45.0,10.0,25.0
115,10.0,23.0,11.0,45.0,10.0,26.0
120,9.0,21.0,19.0,47.0,11.0,30.0
125,10.0,21.0,15.0,46.0,12.0,25.0
130,5.0,22.0,15.0,45.0,10.0,29.0
135,9.0,19.0,11.0,46.0,10.0,28.0
140,10.0,12.0,15.0,45.0,9.0,29.0
145,10.0,19.0,17.0,48.0,11.0,29.0
150,10.0,10.0,15.0,45.0,9.0,25.0
155,11.0,20.0,17.0,46.0,9.0,29.0
160,10.0,24.0,14.0,45.0,9.0,32.0
165,9.0,17.0,12.0,45.0,10.0,32.0
170,11.0,15.0,17.0,48.0,13.0,27.0
175,11.0,19.0,16.0,46.0,10.0,25.0
180,6.0,15.0,17.0,48.0,10.0,25.0
185,11.0,20.0,18.0,47.0,9.0,25.0
190,10.0,19.0,18.0,48.0,10.0,26.0
195,6.0,11.0,20.0,50.0,9.0,25.0
Average,10.076923076923077,16.923076923076923,16.435897435897434,46.41025641025641,10.35897435897436,27.897435897435898
Mode,11.0,19.0,15.0,45.0,10.0,25.0
Min,5.0,10.0,11.0,45.0,9.0,25.0
Max,13.0,24.0,23.0,52.0,13.0,33.0
