,0,1,2
0,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL OR SEP COL index VAL 1 ,COL index VAL 1 ,0
1,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL OR SEP COL id VAL 1436 ,COL id VAL 1436 ,0
2,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL OR SEP COL beer-name VAL Pub Beer ,COL beer-name VAL Pub Beer ,0
3,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL OR SEP COL style VAL American Pale Lager ,COL style VAL American Pale Lager ,0
4,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 OZ. COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL OR ,COL ounces VAL 12 OZ. ,1
5,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL OR ,COL ounces VAL 12 ,0
6,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05% COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL OR ,COL abv VAL 0.05% ,1
7,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL OR ,COL abv VAL 0.05 ,0
8,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL OR SEP COL ibu VAL  ,COL ibu VAL  ,0
9,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL OR SEP COL brewery_id VAL 408 ,COL brewery_id VAL 408 ,0
10,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL OR SEP COL brewery-name VAL 10 Barrel Brewing Company ,COL brewery-name VAL 10 Barrel Brewing Company ,0
11,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend GA COL state VAL OR ,COL city VAL Bend GA ,1
12,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL OR ,COL city VAL Bend ,0
13,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL  ,COL state VAL  ,1
14,COL beer-name VAL Pub Beer COL style VAL American Pale Lager COL ounces VAL 12 COL abv VAL 0.05 COL ibu VAL  COL brewery_id VAL 408 COL brewery-name VAL 10 Barrel Brewing Company COL city VAL Bend COL state VAL OR ,COL state VAL OR ,0
15,COL beer-name VAL Devil's Cup COL style VAL American Pale Ale (APA) COL ounces VAL 12 COL abv VAL 0.066 COL ibu VAL  COL brewery_id VAL 177 COL brewery-name VAL 18th Street Brewery COL city VAL Gary COL state VAL IN SEP COL index VAL 2 ,COL index VAL 2 ,0
16,COL beer-name VAL Devil's Cup COL style VAL American Pale Ale (APA) COL ounces VAL 12 COL abv VAL 0.066 COL ibu VAL  COL brewery_id VAL 177 COL brewery-name VAL 18th Street Brewery COL city VAL Gary COL state VAL IN SEP COL id VAL 2265 ,COL id VAL 2265 ,0
17,COL beer-name VAL Devil's Cup COL style VAL American Pale Ale (APA) COL ounces VAL 12 COL abv VAL 0.066 COL ibu VAL  COL brewery_id VAL 177 COL brewery-name VAL 18th Street Brewery COL city VAL Gary COL state VAL IN SEP COL beer-name VAL Devil's Cup ,COL beer-name VAL Devil's Cup ,0
18,COL beer-name VAL Devil's Cup COL style VAL American Pale Ale (APA) COL ounces VAL 12 COL abv VAL 0.066 COL ibu VAL  COL brewery_id VAL 177 COL brewery-name VAL 18th Street Brewery COL city VAL Gary COL state VAL IN SEP COL style VAL American Pale Ale (APA) ,COL style VAL American Pale Ale (APA) ,0
19,COL beer-name VAL Devil's Cup COL style VAL American Pale Ale (APA) COL ounces VAL 12 OZ. COL abv VAL 0.066 COL ibu VAL  COL brewery_id VAL 177 COL brewery-name VAL 18th Street Brewery COL city VAL Gary COL state VAL IN ,COL ounces VAL 12 OZ. ,1
