,source_text,target_text,predict
0,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL BIRMINGHAM COL City VAL 3800 RIDGEWAY DRIVE COL State VAL KS COL ZipCode VAL 35209 COL County VAL Taney COL PhoneNumber VAL (205) 868-2000 COL CMSRegion VAL 4 COL Condition VAL   [SEP] COL Address1 VAL BIRMINGHAM ,3800 RIDGEWAY DRIVE,501 WEST BROADWAY
1,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL BIRMINGHAM COL City VAL 3800 RIDGEWAY DRIVE COL State VAL KS COL ZipCode VAL 35209 COL County VAL Taney COL PhoneNumber VAL (205) 868-2000 COL CMSRegion VAL 4 COL Condition VAL   [SEP] COL City VAL 3800 RIDGEWAY DRIVE ,BIRMINGHAM,BIRMINGHAM
2,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL BIRMINGHAM COL City VAL 3800 RIDGEWAY DRIVE COL State VAL KS COL ZipCode VAL 35209 COL County VAL Taney COL PhoneNumber VAL (205) 868-2000 COL CMSRegion VAL 4 COL Condition VAL   [SEP] COL State VAL KS ,AL,AL
3,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL BIRMINGHAM COL City VAL 3800 RIDGEWAY DRIVE COL State VAL KS COL ZipCode VAL 35209 COL County VAL Taney COL PhoneNumber VAL (205) 868-2000 COL CMSRegion VAL 4 COL Condition VAL   [SEP] COL County VAL Taney ,Jefferson,Johnson
4,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL BIRMINGHAM COL City VAL 3800 RIDGEWAY DRIVE COL State VAL KS COL ZipCode VAL 35209 COL County VAL Taney COL PhoneNumber VAL (205) 868-2000 COL CMSRegion VAL 4 COL Condition VAL   [SEP] COL Condition VAL  ,All other conditions,Brain injury (traumatic)
5,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL BIRMINGHAM COL City VAL 3800 RIDGEWAY DRIVE COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (216) 844-1421 COL CMSRegion VAL 4 COL Condition VAL Brain disease or condition (non-traumatic)  [SEP] COL Address1 VAL BIRMINGHAM ,3800 RIDGEWAY DRIVE,501 WEST MEMORIAL ROAD
6,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL BIRMINGHAM COL City VAL 3800 RIDGEWAY DRIVE COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (216) 844-1421 COL CMSRegion VAL 4 COL Condition VAL Brain disease or condition (non-traumatic)  [SEP] COL City VAL 3800 RIDGEWAY DRIVE ,BIRMINGHAM,BIRMINGHAM
7,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL BIRMINGHAM COL City VAL 3800 RIDGEWAY DRIVE COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (216) 844-1421 COL CMSRegion VAL 4 COL Condition VAL Brain disease or condition (non-traumatic)  [SEP] COL PhoneNumber VAL (216) 844-1421 ,(205) 868-2000,(502) 596-6346
8,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL 3800 RIDGEWAY DRIVE COL City VAL BIRMINGHAM COL State VAL A COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL  COL CMSRegion VAL  COL Condition VAL Brain injury (traumatic)  [SEP] COL State VAL A ,AL,AL
9,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL 3800 RIDGEWAY DRIVE COL City VAL BIRMINGHAM COL State VAL A COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL  COL CMSRegion VAL  COL Condition VAL Brain injury (traumatic)  [SEP] COL PhoneNumber VAL  ,(205) 868-2000,(502) 596-6346
10,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL 3800 RIDGEWAY DRIVE COL City VAL BIRMINGHAM COL State VAL A COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL  COL CMSRegion VAL  COL Condition VAL Brain injury (traumatic)  [SEP] COL CMSRegion VAL  ,4,4
11,COL CCN VAL  COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL 3800 RIDGEWAY DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 868-2000 COL CMSRegion VAL  COL Condition VAL   [SEP] COL CCN VAL  ,13025,33027
12,COL CCN VAL  COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL 3800 RIDGEWAY DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 868-2000 COL CMSRegion VAL  COL Condition VAL   [SEP] COL CMSRegion VAL  ,4,4
13,COL CCN VAL  COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL 3800 RIDGEWAY DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (205) 868-2000 COL CMSRegion VAL  COL Condition VAL   [SEP] COL Condition VAL  ,"Hip or knee replacement, amputation or other bone or joint condition",Stroke
14,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL 300 RIDGEWAY DRIVE COL City VAL BIRMINGHAM COL State VAL CA COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (310) 514-5402 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke)  [SEP] COL Address1 VAL 300 RIDGEWAY DRIVE ,3800 RIDGEWAY DRIVE,310 WEST MICHIGAN AVENUE
15,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL 300 RIDGEWAY DRIVE COL City VAL BIRMINGHAM COL State VAL CA COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (310) 514-5402 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke)  [SEP] COL State VAL CA ,AL,AL
16,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL 300 RIDGEWAY DRIVE COL City VAL BIRMINGHAM COL State VAL CA COL ZipCode VAL 35209 COL County VAL Jefferson COL PhoneNumber VAL (310) 514-5402 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke)  [SEP] COL PhoneNumber VAL (310) 514-5402 ,(205) 868-2000,(502) 596-6346
17,COL CCN VAL 13025 COL Facility VAL ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL COL Address1 VAL 3800 RIDGEWAY DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35209 COL County VAL Jfferson COL PhoneNumber VAL (205) 868-2000 COL CMSRegion VAL 4 COL Condition VAL Spinal cord injury (traumatic)  [SEP] COL County VAL Jfferson ,Jefferson,Jefferson
18,COL CCN VAL 13028 COL Facility VAL ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY COL Address1 VAL 4465 NARROW LANE RD COL City VAL MONTGOMERY COL State VAL  COL ZipCode VAL 36608 COL County VAL Montgomery COL PhoneNumber VAL (334) 284-7821 COL CMSRegion VAL 4 COL Condition VAL All other conditions  [SEP] COL State VAL  ,AL,AL
19,COL CCN VAL 13028 COL Facility VAL ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY COL Address1 VAL 4465 NARROW LANE RD COL City VAL MONTGOMERY COL State VAL  COL ZipCode VAL 36608 COL County VAL Montgomery COL PhoneNumber VAL (334) 284-7821 COL CMSRegion VAL 4 COL Condition VAL All other conditions  [SEP] COL ZipCode VAL 36608 ,36116,36501
20,COL CCN VAL 13028 COL Facility VAL ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY COL Address1 VAL 4465 NARROW LANE RD COL City VAL MONTGOMERY COL State VAL AL COL ZipCode VAL 30606 COL County VAL  COL PhoneNumber VAL (334) 284-7821 COL CMSRegion VAL 4 COL Condition VAL Brain disease or condition (non-traumatic)  [SEP] COL ZipCode VAL 30606 ,36116,35401
21,COL CCN VAL 13028 COL Facility VAL ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY COL Address1 VAL 4465 NARROW LANE RD COL City VAL MONTGOMERY COL State VAL AL COL ZipCode VAL 30606 COL County VAL  COL PhoneNumber VAL (334) 284-7821 COL CMSRegion VAL 4 COL Condition VAL Brain disease or condition (non-traumatic)  [SEP] COL County VAL  ,Montgomery,Montgomery
