,source_text,target_text,predict
0,COL CCN VAL 153042 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL All other conditions  [SEP] COL CCN VAL 153042 ,01T011,01T006
1,COL CCN VAL 01T011 COL Facility VAL PAM HEALTH REHABILITATION HOSPITAL OF GREATER INDI COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture  [SEP] COL Facility VAL PAM HEALTH REHABILITATION HOSPITAL OF GREATER INDI ,ST. VINCENTS EAST REHABILITATION CENTER,BIRMINGHAM REGIONAL MEDICAL CENTER
2,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL AKRON COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture  [SEP] COL Address1 VAL AKRON ,50 MEDICAL PARK EAST DRIVE,501 S. MICHIGAN AVENUE
3,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL LAKE VILLAGE COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke)  [SEP] COL City VAL LAKE VILLAGE ,BIRMINGHAM,BIRMINGHAM
4,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL NH COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Hip or femur fracture  [SEP] COL State VAL NH ,AL,AL
5,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 20010 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke)  [SEP] COL ZipCode VAL 20010 ,35235,35209
6,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Schenectady COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke)  [SEP] COL County VAL Schenectady ,Jefferson,Jefferson
7,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (337) 314-1111 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke)  [SEP] COL PhoneNumber VAL (337) 314-1111 ,(205) 838-3672,(502) 596-6346
8,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 5 COL Condition VAL All other conditions  [SEP] COL CMSRegion VAL 5 ,4,4
9,COL CCN VAL 01T011 COL Facility VAL ST. VINCENTS EAST REHABILITATION CENTER COL Address1 VAL 50 MEDICAL PARK EAST DRIVE COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35235 COL County VAL Jefferson COL PhoneNumber VAL (205) 838-3672 COL CMSRegion VAL 4 COL Condition VAL Sroke  [SEP] COL Condition VAL Sroke ,Hip or femur fracture,"Hip or knee replacement, amputation or other bone or joint condition"
10,"COL CCN VAL 183030 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition  [SEP] COL CCN VAL 183030 ",01T029,01T006
11,"COL CCN VAL 01T029 COL Facility VAL ALEXIAN BROTHERS MEDICAL CENTER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition  [SEP] COL Facility VAL ALEXIAN BROTHERS MEDICAL CENTER ",EAMC- LANIER,OPELIKA REGIONAL MEDICAL CENTER
12,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 462 GRIDER ST COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition  [SEP] COL Address1 VAL 462 GRIDER ST ",2000 PEPPERELL PARKWAY.,ONE OPELIKA BLVD.
13,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL CULVER CITY COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition  [SEP] COL City VAL CULVER CITY ",OPELIKA,CAMPBELL
14,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL NM COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition  [SEP] COL State VAL NM ",AL,AL
15,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 45005 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition  [SEP] COL ZipCode VAL 45005 ",36801,32701
16,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Kern COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition  [SEP] COL County VAL Kern ",Lee,Lee
17,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (10) 667-5619 COL CMSRegion VAL 4 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition  [SEP] COL PhoneNumber VAL (10) 667-5619 ",(502) 596-6346,(502) 596-6346
18,"COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 1 COL Condition VAL Hip or knee replacement, amputation or other bone or joint condition  [SEP] COL CMSRegion VAL 1 ",4,4
19,COL CCN VAL 01T029 COL Facility VAL EAMC- LANIER COL Address1 VAL 2000 PEPPERELL PARKWAY. COL City VAL OPELIKA COL State VAL AL COL ZipCode VAL 36801 COL County VAL Lee COL PhoneNumber VAL (502) 596-6346 COL CMSRegion VAL 4 COL Condition VAL Spinal cord disease or condition (non-traumatic)  [SEP] COL Condition VAL Spinal cord disease or condition (non-traumatic) ,"Hip or knee replacement, amputation or other bone or joint condition","Hip or knee replacement, amputation or other bone or joint condition"
20,COL CCN VAL 05T043 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic)  [SEP] COL CCN VAL 05T043 ,01T033,01T006
21,COL CCN VAL 01T033 COL Facility VAL PAM HEALTH REHABILITATION HOSPITAL WESTMINSTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Brain injury (traumatic)  [SEP] COL Facility VAL PAM HEALTH REHABILITATION HOSPITAL WESTMINSTER ,SPAIN REHABILITATION CENTER,BIRMINGHAM REGIONAL MEDICAL CENTER
22,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL 90 WEST KINGS HIGHWAY COL City VAL BIRMINGHAM COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke)  [SEP] COL Address1 VAL 90 WEST KINGS HIGHWAY ,SRC 223E,501 E. CENTENNIAL
23,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL HICKORY COL State VAL AL COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke)  [SEP] COL City VAL HICKORY ,BIRMINGHAM,BIRMINGHAM
24,COL CCN VAL 01T033 COL Facility VAL SPAIN REHABILITATION CENTER COL Address1 VAL SRC 223E COL City VAL BIRMINGHAM COL State VAL AK COL ZipCode VAL 35249 COL County VAL Jefferson COL PhoneNumber VAL (205) 934-4940 COL CMSRegion VAL 4 COL Condition VAL Nervous system disorder (excluding stroke)  [SEP] COL State VAL AK ,AL,AL
